"period","supervisor_district","battalion","incident_count","total_alarms","total_suppression_units","total_suppression_personnel","total_ems_units","total_ems_personnel","total_other_units","total_other_personnel","total_fire_fatalities","total_fire_injuries","total_civilian_fatalities","total_civilian_injuries","total_number_of_alarms"
"2020-04-01","1",B05,3,3,5,18,0,0,0,0,0,0,0,0,3
"2020-04-01","1",B07,39,39,135,482,15,25,8,16,0,0,0,0,39
"2020-04-01","10",B02,5,5,12,43,1,2,0,0,0,0,0,0,5
"2020-04-01","10",B03,3,3,10,31,0,0,0,0,0,0,0,0,3
"2020-04-01","10",B09,8,8,17,71,6,9,0,0,0,0,0,0,8
"2020-04-01","10",B10,77,77,170,617,31,56,4,8,0,0,0,0,77
"2020-04-01","11",B09,24,24,57,217,6,12,3,6,0,0,0,0,24
"2020-04-01","2",B01,3,3,6,23,2,3,0,0,0,0,0,0,3
"2020-04-01","2",B02,2,2,4,15,0,0,0,0,0,0,0,0,2
"2020-04-01","2",B04,48,48,136,474,4,7,2,4,0,0,0,0,48
"2020-04-01","2",B05,8,8,23,82,1,2,1,2,0,0,0,0,8
"2020-04-01","2",B07,4,4,13,47,1,2,1,2,0,0,0,0,4
"2020-04-01","3",B01,78,78,230,886,14,23,5,10,0,0,0,0,78
"2020-04-01","3",B03,12,12,26,97,3,5,0,0,0,0,0,0,12
"2020-04-01","3",B04,28,28,87,316,5,10,4,8,0,0,0,0,28
"2020-04-01","4",B07,1,1,4,14,0,0,0,0,0,0,0,0,1
"2020-04-01","4",B08,35,35,77,289,11,19,2,4,0,0,0,0,35
"2020-04-01","5",B01,2,2,6,22,5,9,0,0,0,0,0,0,2
"2020-04-01","5",B02,56,56,153,577,9,16,5,9,0,0,0,0,56
"2020-04-01","5",B03,27,27,61,239,3,4,0,0,0,0,0,0,27
"2020-04-01","5",B04,18,18,46,164,2,4,1,2,0,0,0,0,18
"2020-04-01","5",B05,37,37,87,319,5,8,1,2,0,0,0,0,37
"2020-04-01","6",B01,4,4,10,35,0,0,0,0,0,0,0,0,4
"2020-04-01","6",B02,47,47,102,397,10,19,3,5,0,0,0,0,47
"2020-04-01","6",B03,72,72,185,671,16,28,3,6,0,0,0,0,72
"2020-04-01","7",B05,3,3,7,25,0,0,0,0,0,0,0,0,3
"2020-04-01","7",B07,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-04-01","7",B08,47,47,118,426,11,20,2,4,0,0,0,0,47
"2020-04-01","7",B09,14,14,33,125,3,6,1,2,0,0,0,0,14
"2020-04-01","8",B02,15,15,34,124,2,4,3,4,0,0,0,0,15
"2020-04-01","8",B05,25,25,46,179,3,6,0,0,0,0,0,0,25
"2020-04-01","8",B06,25,25,45,162,4,8,0,0,0,0,0,0,25
"2020-04-01","8",B09,2,2,2,8,0,0,0,0,0,0,0,0,2
"2020-04-01","9",B02,25,25,45,175,13,23,3,5,0,0,0,0,25
"2020-04-01","9",B06,34,34,74,264,1,2,1,2,0,0,0,0,34
"2020-04-01","9",B09,6,6,11,40,1,2,0,0,0,0,0,0,6
"2020-04-01","9",B10,9,9,23,77,2,3,0,0,0,0,0,0,9
"2020-05-01","1",B05,5,5,17,61,2,3,1,2,0,0,0,0,5
"2020-05-01","1",B07,134,134,323,1166,31,55,7,15,0,0,0,0,134
"2020-05-01","10",B02,8,8,25,89,5,9,1,2,0,0,0,0,8
"2020-05-01","10",B03,18,18,27,104,6,10,0,0,0,0,0,0,18
"2020-05-01","10",B09,22,22,66,243,7,12,5,8,0,0,0,0,22
"2020-05-01","10",B10,179,179,419,1525,68,119,10,20,0,0,0,0,179
"2020-05-01","11",B06,1,1,1,4,0,0,0,0,0,0,0,0,1
"2020-05-01","11",B09,84,84,186,710,29,52,8,14,0,0,0,0,84
"2020-05-01","2",B01,4,4,9,32,1,2,0,0,0,0,0,0,4
"2020-05-01","2",B02,15,15,33,128,2,4,1,2,0,0,0,0,15
"2020-05-01","2",B04,151,151,426,1526,31,54,8,16,0,0,0,0,151
"2020-05-01","2",B05,20,20,44,162,4,7,1,2,0,0,0,0,20
"2020-05-01","2",B07,12,12,31,106,5,9,0,0,0,0,0,0,12
"2020-05-01","3",B01,240,243,695,2632,31,56,20,35,0,0,0,0,243
"2020-05-01","3",B03,19,19,67,248,5,8,3,5,0,0,0,0,19
"2020-05-01","3",B04,91,91,216,820,15,26,6,12,0,0,0,0,91
"2020-05-01","4",B07,3,3,7,24,0,0,0,0,0,0,0,0,3
"2020-05-01","4",B08,93,93,203,766,17,31,5,10,0,0,0,0,93
"2020-05-01","5",B01,6,6,27,101,2,4,2,4,0,0,0,0,6
"2020-05-01","5",B02,128,128,306,1167,30,52,6,11,0,0,0,0,128
